id,Name,Released,Members,Race,Location,Leagueregion,Gender,Examine,NPC ID,Link,chathead_url,body_url,Options,lat,lon,Quest,Removal,Shop,Also called,Combat level,Respawn time,Size
990,Diana,23 July 2025 ( Update ),Yes,,Auburn Valley,Varlamore ✓,,An expert among the foliage.,14677,MOID,https://oldschool.runescape.wiki/images/Diana_%28Auburn_Valley%29_chathead.png,https://oldschool.runescape.wiki/images/Diana_%28Auburn_Valley%29.png,Talk-to,3305,1410,,,,,,,
991,Diango,1 April 2004 ( Update ),No,Human,Draynor Village,Misthalin ✓,Male,He smells funny.,8693,MOID,https://oldschool.runescape.wiki/images/Diango_chathead.png,https://oldschool.runescape.wiki/images/Diango.png,"Talk-to, Trade, Holiday-items, Redeem-code",3247,3081,,,Diango's Toy Store,,,,
992,Dig Site workman,29 May 2007 ( Update ),Yes,Human,Digsite,Misthalin ✓,Male,Wheelbarrow loader.,1933,MOID,https://oldschool.runescape.wiki/images/thumb/Barge_foreman_chathead.png/30px-Barge_foreman_chathead.png,https://oldschool.runescape.wiki/images/Dig_Site_workman.png,,3418,3361,The Dig Site,,,,,,
993,Digsite workman,9 July 2003 ( Update ),Yes,Human,Digsite and near Varrock Museum,Misthalin ✓,Male,This person is working on the site.,3628,MOID,https://oldschool.runescape.wiki/images/Digsite_workman_%281%29_chathead.png,https://oldschool.runescape.wiki/images/Digsite_workman_%281%29.png,"Talk-to, Steal-from",3412,3361,The Dig Site,,,,,,
994,Dimintheis,9 April 2002 ( Update ),No,Human,"South of the Varrock east entrance, beside the fancy dress shop",Misthalin ✓,Male,A well dressed nobleman.,4984,MOID,https://oldschool.runescape.wiki/images/Dimintheis_chathead.png,https://oldschool.runescape.wiki/images/Dimintheis.png,Talk-to,3404,3281,Family Crest,,,,,,
995,Diol,25 July 2019 ( Update ),Yes,Elf,Prifddinas,Tirannwn ✓,Female,She's pretty engaged in the fight.,9097,MOID,https://oldschool.runescape.wiki/images/Diol_chathead.png,https://oldschool.runescape.wiki/images/Diol.png,None,6051,3247,,,,,,,
996,Dipflip,9 February 2022 ( Update ),Yes,Goblin,Goblin Temple,Kandarin ✓,Male,An ugly green creature.,11383,MOID,https://oldschool.runescape.wiki/images/Dipflip_chathead.png,https://oldschool.runescape.wiki/images/Dipflip.png,Talk-to,4302,3732,Land of the Goblins,,,,,,
997,Diphylla Bechstein,4 June 2020 ( Update ),Yes,Vampyre,North-east Darkmeyer,Morytania ✓,Female,She's got a look in her eyes...,9702,MOID,https://oldschool.runescape.wiki/images/Diphylla_Bechstein_chathead.png,https://oldschool.runescape.wiki/images/Diphylla_Bechstein.png,"Talk-to, Pickpocket",3378,3644,,,,,,,
998,Disappointed daughter,27 March 2024 ( Update ),Yes,Human,Varrock,N/A,Female,On the verge of tears.,hist13458,MOID,https://oldschool.runescape.wiki/images/Disappointed_daughter_chathead.png,https://oldschool.runescape.wiki/images/Disappointed_daughter.png,Talk-to,,,2024 Easter event,17 April 2024 ( Update ),,,,,
999,Disappointed father,27 March 2024 ( Update ),Yes,Human,Varrock,N/A,Male,Trying his best to console his child.,hist13459,MOID,https://oldschool.runescape.wiki/images/Disappointed_father_chathead.png,https://oldschool.runescape.wiki/images/Disappointed_father.png,Talk-to,,,2024 Easter event,17 April 2024 ( Update ),,,,,
1000,Disappointed mother,27 March 2024 ( Update ),Yes,Human,Varrock,N/A,Female,Trying her best to console her child.,hist13457,MOID,https://oldschool.runescape.wiki/images/Disappointed_mother_chathead.png,https://oldschool.runescape.wiki/images/Disappointed_mother.png,Talk-to,,,2024 Easter event,17 April 2024 ( Update ),,,,,
1001,Disciple of Yama,27 April 2017 ( Update ),Yes,Human,Chasm of Fire,Kourend ✓,Male,Sold his soul to Yama.,"7669,14186,14187",MOID,https://oldschool.runescape.wiki/images/Disciple_of_Yama_%28entrance%29_chathead.png,https://oldschool.runescape.wiki/images/Disciple_of_Yama_%28entrance%29.png,"Talk-to, Check",3667,1438,,,,,,,
1002,Disk of Returning,19 August 2013,No,,Varies,N/A,,? (edit),hist6253,MOID,https://oldschool.runescape.wiki/images/thumb/Dommik_chathead.png/26px-Dommik_chathead.png,https://oldschool.runescape.wiki/images/Disk_of_Returning_%282013_Rare_Drops%29.png,Take,,,2013 Rare Drops,26 August 2013 (Update unknown),,,,,
1003,Dobwinkle,7 January 2016 ( Update ),Yes,Gnome,Port Piscarilius,Kourend ✓,Male,He looks like he's a long way from home.,7013,MOID,https://oldschool.runescape.wiki/images/Dobwinkle_chathead.png,https://oldschool.runescape.wiki/images/Dobwinkle.png,Talk-to,3682,1782,,,,,,,
1004,Dock worker,7 January 2016 ( Update ),Yes,Human,Port Piscarilius,Kourend ✓,Male,Works on the docks for a living.,6967,MOID,https://oldschool.runescape.wiki/images/Dock_worker_%281%29_chathead.png,https://oldschool.runescape.wiki/images/Dock_worker_%281%29.png,Talk-to,3741,1828,,,,,,,
1005,Dockmaster,7 January 2016 ( Update ),Yes,Human,Port Piscarilius,Kourend ✓,Male,He's in charge of the docks.,6966,MOID,https://oldschool.runescape.wiki/images/Dockmaster_chathead.png,https://oldschool.runescape.wiki/images/Dockmaster.png,Talk-to,3740,1822,,,,,,,
1006,Doctor Orbon,15 August 2002 ( Update ),Yes,Human,East Ardougne Chapel,Kandarin ✓,Male,A serious-looking doctor.,3984,MOID,https://oldschool.runescape.wiki/images/Doctor_Orbon_chathead.png,https://oldschool.runescape.wiki/images/Doctor_Orbon.png,Talk-to,3307,2617,Sheep Herder,,,,,,
1007,Dodgy geezer,21 February 2019 ( Update ),No,Human,Port Sarim,N/A,Male,He's probably got no reason for being here.,hist8644,MOID,https://oldschool.runescape.wiki/images/Dodgy_geezer_chathead.png,https://oldschool.runescape.wiki/images/Dodgy_geezer.png,Talk-to,3242,3054,,28 April 2021 ( Update ),,,,,
1008,Dodgy Squire,14 April 2016 ( Update ),Yes,Human,Void Knights' Outpost,Asgarnia ✓,Male,I'm sure the briefcase's contents is strictly for personal use.,2060,MOID,https://oldschool.runescape.wiki/images/Dodgy_Squire_chathead.png,https://oldschool.runescape.wiki/images/Dodgy_Squire.png,Talk-to,2658,2668,,,,,,,
1009,Doe,23 July 2015 ( Update ),No,Deer,World Wildlife Fund conservation area,N/A,Female,"A deer, a female deer.",hist5875,MOID,https://oldschool.runescape.wiki/images/thumb/Emem_Sharma_chathead.png/34px-Emem_Sharma_chathead.png,https://oldschool.runescape.wiki/images/Doe.png,,,,,27 August 2015 ( Update ),,,,,
1010,Dog,March-June 2004 (Update unknown),No,Dog,South of Falador,Asgarnia ✓ Morytania ✓,Male,Bow wow.,111,MOID,https://oldschool.runescape.wiki/images/thumb/Elstan_chathead.png/23px-Elstan_chathead.png,https://oldschool.runescape.wiki/images/Dog.png,Pet,3293,3018,,,,,,,
1011,Dog,14 September 2017 ( Update ),Yes,Dog,Museum Camp bank,Misthalin ✓,,Seems friendly enough.,7771,MOID,https://oldschool.runescape.wiki/images/thumb/Charles_%28Fossil_Island%29_chathead.png/35px-Charles_%28Fossil_Island%29_chathead.png,https://oldschool.runescape.wiki/images/Dog_%28Museum_Camp%29.png,Pet,3805,3739,,,,,,,
1012,Dog,4 January 2018 ( Update ),Yes,Dog,Myths' Guild,Kandarin ✓,Female,Looks like she's up to no good.,8041,MOID,https://oldschool.runescape.wiki/images/thumb/Alec_Kincade_chathead.png/27px-Alec_Kincade_chathead.png,https://oldschool.runescape.wiki/images/Dog_%28Myths%27_Guild%29.png,Pet,2849,2456,,,,,,,
1013,Doll,7 December 2017 ( Update ),No,,Corsair Cove,Kandarin ✓,,Maybe it's not that scary after all.,7975,MOID,https://oldschool.runescape.wiki/images/thumb/Captain_Tock_chathead.png/21px-Captain_Tock_chathead.png,https://oldschool.runescape.wiki/images/Doll_%28The_Corsair_Curse%29.png,None,,,The Corsair Curse,,,,,,
1014,Dolph,11 December 2017 ( Update ),No,Reindeer,Land of Snow,N/A,Male,His nose looks very dim.,hist8006,MOID,https://oldschool.runescape.wiki/images/Dolph_%281%29_chathead.png,https://oldschool.runescape.wiki/images/Dolph_%281%29.png,,,,,4 January 2018 ( Update ),None,,,,
1015,Dolphin,19 November 2025 ( Update ),Yes,,Varies,N/A,,"Cute, but dead.",15235,MOID,,https://oldschool.runescape.wiki/images/Dolphin_%28defeated%29.png,Harvest,,,,,,,22,,
1016,Dolphin calf,19 November 2025 ( Update ),Yes,,? (edit),N/A,,A small bottlenose dolphin calf.,15236,MOID,,https://oldschool.runescape.wiki/images/Dolphin_calf.png,,,,,,,,,,
1017,Dom,23 July 2025 ( Update ),Yes,,Doom of Mokhaiotl,Varlamore ✓,,Doom on a small scale.,"14785,14519",MOID,https://oldschool.runescape.wiki/images/Dom_chathead.png,https://oldschool.runescape.wiki/images/Dom_%28follower%29.png,"Talk-to, Pick-up",,,,,,,,,
1018,Dominic Onion,5 September 2013 ( Update ),Yes,Human,"Nightmare Zone , north of Yanille",Kandarin ✓,Male,A master of dream-manipulation.,1120,MOID,https://oldschool.runescape.wiki/images/Dominic_Onion_chathead.png,https://oldschool.runescape.wiki/images/Dominic_Onion.png,"Talk-to, Dream",3115,2610,,,,,,,
1019,"Dominicus, Teoki of Ranul",23 July 2025 ( Update ),Yes,,Auburn Valley,Varlamore ✓,,A teoki in service to Ranul.,14675,MOID,https://oldschool.runescape.wiki/images/Dominicus%2C_Teoki_of_Ranul_chathead.png,https://oldschool.runescape.wiki/images/Dominicus%2C_Teoki_of_Ranul.png,Talk-to,3323,1436,,,,,,,
1020,Dommik,23 June 2001 ( Update ),No,Human,Al Kharid,Desert ✓,Male,"If crafting's your thing, he's your man!",2879,MOID,https://oldschool.runescape.wiki/images/Dommik_chathead.png,https://oldschool.runescape.wiki/images/Dommik.png,"Talk-to, Trade",3194,3321,,,Dommik's Crafting Store.,,,,
1021,Don,24 May 2018 ( Update ),Yes,Human,Slepe,Morytania ✓,Male,He seems a little dim-witted.,"9779,9783",MOID,https://oldschool.runescape.wiki/images/Don_chathead.png,https://oldschool.runescape.wiki/images/Don.png,,3313,3709,,,,,,,
1022,Don't Know What,6 September 2018 ( Update ),Yes,Troll,Weiss,Fremennik ✓,Male,A troll of Weiss.,"8438,8440",MOID,https://oldschool.runescape.wiki/images/Don%27t_Know_What_chathead.png,https://oldschool.runescape.wiki/images/Don%27t_Know_What.png,,3945,2865,Making Friends with My Arm,,,,,,
1023,Donal,22 May 2006 ( Update ),Yes,Dwarf,Miscellania and Etceteria Dungeon,Fremennik ✓,Male,A rather scared-looking dwarf. He doesn't seem all that drunk.,1096,MOID,https://oldschool.runescape.wiki/images/Donal_chathead.png,https://oldschool.runescape.wiki/images/Donal.png,Talk-to,10257,2529,Royal Trouble,,,,,,
1024,Dondakan the Dwarf,21 March 2005 ( Update ),Yes,Dwarf,Keldagrim south-west mine,Fremennik ✓,Male,"A short, old and gold loving guy.","4890,4891,4892",MOID,https://oldschool.runescape.wiki/images/Dondakan_the_Dwarf_chathead.png,https://oldschool.runescape.wiki/images/Dondakan_the_Dwarf_%28pickaxe%29.png,Talk-to,10168,2824,Between a Rock...,,,,,,
1025,Donie,6 June 2005 ( Update ),No,Human,In and around Lumbridge,Misthalin ✓,Female,A local farmer. She might be able to provide some useful information.,921,MOID,https://oldschool.runescape.wiki/images/Donie_chathead.png,https://oldschool.runescape.wiki/images/Donie.png,Talk-to,3238,3228,,,,,,,
1026,Donie,17 February 2021 ( Update ),No,Human,North-east of Lumbridge General Store,N/A,Female,"A local farmer. She may be able to provide some useful information. A local farmer, no longer being harassed by monkeys!","hist10562,hist10585,hist10586",MOID,https://oldschool.runescape.wiki/images/Donie_chathead.png,https://oldschool.runescape.wiki/images/Donie.png,Talk-to,3253,3215,2021 Birthday event,17 March 2021 ( Update ),,,,,
1027,Donnacha,18 December 2014 ( Update ),No,Pixie,Diango's Workshop,N/A,Male,One of Diango's itinerant pixies.,removed,MOID,https://oldschool.runescape.wiki/images/Donnacha_chathead.png,https://oldschool.runescape.wiki/images/Donnacha.png,,,,,,,,,,
1028,Donovan the Family Handyman,9 June 2003 ( Update ),Yes,Human,"Sinclair Mansion , 1 st floor [ UK ] 2 nd floor [ US ]",Kandarin ✓,Male,He looks very tired...,4212,MOID,https://oldschool.runescape.wiki/images/Donovan_the_Family_Handyman_chathead.png,https://oldschool.runescape.wiki/images/Donovan_the_Family_Handyman.png,Talk-to,3578,2746,Murder Mystery,,,,,,
1029,Doom Scorpion,20 March 2024 ( Update ),Yes,,Fortis Colosseum,Varlamore ✓,,A small but deadly foe.,12822,MOID,https://oldschool.runescape.wiki/images/thumb/Minimus_chathead.png/25px-Minimus_chathead.png,https://oldschool.runescape.wiki/images/Doom_Scorpion.png,,,,,10 April 2024 ( Update ),,,,,
1030,Doomsayer,17 July 2007 ( Update ),No,Human,Lumbridge,Misthalin ✓,Male,"Cheerful, helpful and optimistic, I'll bet.",6773,MOID,https://oldschool.runescape.wiki/images/Doomsayer_chathead.png,https://oldschool.runescape.wiki/images/Doomsayer.png,"Talk-to, Toggle warnings",3224,3232,,,,,,,
1031,Door Guard,11 January 2023 ( Update ),Yes,Human,Fight Arena,Kandarin ✓,Male,One of General Khazard's guards.,12017,MOID,https://oldschool.runescape.wiki/images/Door_Guard_%28male%29_chathead.png,https://oldschool.runescape.wiki/images/Door_Guard_%28male%29.png,Talk-to,3142,2584,,,,,,,
1032,Door man,27 February 2002 ( Update ),Yes,Human,Zanaris,N/A,Male,What a boring job he has.,5419,MOID,https://oldschool.runescape.wiki/images/Door_man_chathead.png,https://oldschool.runescape.wiki/images/Door_man.png,Talk-to,,,,27 February 2006 ( Update ),,,,,
1033,Door-support,1 August 2005 ( Update ),Yes,N/A,Waterbirth Island Dungeon,Fremennik ✓,,This support is propping the door closed.,"2250,2253,2256",MOID,https://oldschool.runescape.wiki/images/thumb/Askeladden_chathead.png/35px-Askeladden_chathead.png,https://oldschool.runescape.wiki/images/Door-support.png,Destroy,10143,2544,,,,,,,
1034,Doria,19 November 2025 ( Update ),Yes,Human,Port Roberts,N/A,Female,Often gets wrapped up in her work.,14907,MOID,https://oldschool.runescape.wiki/images/Doria_chathead.png,https://oldschool.runescape.wiki/images/Doria.png,"Talk-to, Trade",3295,1871,,,Port Roberts Silk Stall,,,,
1035,Doric,6 April 2001 ( Update ),No,Dwarf,North of Falador,Asgarnia ✓,Male,A dwarf smith. Quite handy with a hammer.,3893,MOID,https://oldschool.runescape.wiki/images/Doric_chathead.png,https://oldschool.runescape.wiki/images/Doric.png,Talk-to,3452,2952,• Doric's Quest • Devious Minds,,,,,,
1036,Doris,15 March 2006 ( Update ),Yes,Human,Edgeville,Misthalin ✓,Female,One of Gielinor's many citizens.,4808,MOID,https://oldschool.runescape.wiki/images/Doris_chathead.png,https://oldschool.runescape.wiki/images/Doris.png,Talk-to,3494,3079,Freeing Evil Dave,,,,,,
1037,Doris,10 December 2025 ( Update ),No,Human,Blue Moon Inn,N/A,,Taking a festive break from her rat-filled basement.,hist15556,MOID,https://oldschool.runescape.wiki/images/Doris_%282025_Christmas_event%29_chathead.png,https://oldschool.runescape.wiki/images/Doris_%282025_Christmas_event%29.png,Talk-to,,,,7 January 2026 ( Update ),,,,,
1038,Doug Deeping,22 August 2006 ( Update ),Yes,Human,Down the north-eastern borehole of the Digsite,Misthalin ✓,Male,This person is working on the site.,3629,MOID,https://oldschool.runescape.wiki/images/Doug_Deeping_chathead.png,https://oldschool.runescape.wiki/images/Doug_Deeping.png,"Talk-to, Steal-from",9756,3351,The Dig Site,,,,,,
1039,Doughphie,16 April 2025 ( Update ),No,Human,Rabbit Hole,N/A,Female,Covered in flour.,hist14203,MOID,https://oldschool.runescape.wiki/images/Doughphie_chathead.png,https://oldschool.runescape.wiki/images/Doughphie.png,Talk-to,,,,7 May 2025 ( Update ),,,,,
1040,Doyen,10 January 2019 ( Update ),Yes,Human,Battlefront,Kourend ✓,Female,A shayzien [ sic ] soldier who has mastered the sword.,8570,MOID,https://oldschool.runescape.wiki/images/Doyen_%28female%29_chathead.png,https://oldschool.runescape.wiki/images/Doyen_%28female%29.png,,3702,1376,,,,,,,
1041,Dr Banikan,26 July 2023 ( Update ),Yes,"Human , Mahjarrat",Digsite,Misthalin ✓,Male,A mysterious archaeologist.,12293,MOID,https://oldschool.runescape.wiki/images/Dr_Banikan_chathead.png,https://oldschool.runescape.wiki/images/Dr_Banikan.png,Talk-to,3418,3384,Desert Treasure II - The Fallen Empire,,,,,,
1042,Dr Fenkenstrain,31 January 2005 ( Update ),Yes,Human,Fenkenstrain's Castle near Canifis,Morytania ✓,Male,Dr Fenkenstrain I presume.,1269,MOID,https://oldschool.runescape.wiki/images/Dr_Fenkenstrain_chathead.png,https://oldschool.runescape.wiki/images/Dr_Fenkenstrain.png,"Talk-to, Pickpocket",3555,3549,Creature of Fenkenstrain The Great Brain Robbery,,,,,,
1043,Dr Ford,19 June 2014 ( Update ),No,Human,West of the Citharede Abbey,Desert ✓,Male,The good doctor.,6589,MOID,https://oldschool.runescape.wiki/images/Dr_Ford_chathead.png,https://oldschool.runescape.wiki/images/Dr_Ford.png,Talk-to,3171,3365,,,,,,,
1044,Dr Harlow,28 January 2001 ( Update ),No,Human,Varrock,Misthalin ✓,Male,A retired vampyre hunter.,3480,MOID,https://oldschool.runescape.wiki/images/Dr_Harlow_chathead.png,https://oldschool.runescape.wiki/images/Dr_Harlow.png,Talk-to,3397,3222,Vampyre Slayer,N/A,,,,,
1045,Dr Harlow,10 December 2025 ( Update ),No,Human,Blue Moon Inn,N/A,,A retired vampyre hunter.,hist15564,MOID,https://oldschool.runescape.wiki/images/Dr_Harlow_%282025_Christmas_event%29_chathead.png,https://oldschool.runescape.wiki/images/Dr_Harlow_%282025_Christmas_event%29.png,Talk-to,,,,7 January 2026 ( Update ),,,,,
1046,Dr Jekyll,9 August 2005 ( Update ),Yes,Human,Gielinor,General ✓,Male,He looks relieved.,307,MOID,https://oldschool.runescape.wiki/images/Dr_Jekyll_chathead.png,https://oldschool.runescape.wiki/images/Dr_Jekyll.png,"Talk-to, Dismiss",,,,,,Mr Hyde,,,
1047,Draconis Sanguine,4 June 2020 ( Update ),Yes,Vampyre,North Darkmeyer,Morytania ✓,Male,"Don't run, I'm not the sun.",9688,MOID,https://oldschool.runescape.wiki/images/Draconis_Sanguine_chathead.png,https://oldschool.runescape.wiki/images/Draconis_Sanguine.png,"Talk-to, Pickpocket",3382,3630,,,,,,,
1048,Dragon display,29 May 2007 ( Update ),Yes,N/A,Varrock Museum,Misthalin ✓,,Looks like a fire-breather.,6015,MOID,https://oldschool.runescape.wiki/images/thumb/Aris_chathead.png/26px-Aris_chathead.png,https://oldschool.runescape.wiki/images/Dragon_display.png,None,4981,1765,,,,,,,
1049,Dragon Egg,23 July 2025 ( Update ),Yes,Egg (red dragon),? (edit),Varlamore ✓,,An egg. Sat on a wall.,14492,MOID,https://oldschool.runescape.wiki/images/thumb/Alan_%28Scrambled%21%29_chathead.png/26px-Alan_%28Scrambled%21%29_chathead.png,https://oldschool.runescape.wiki/images/Dragon_Egg_%28sitting%29.png,None,,,,,,,,,
1050,Dragonkin,26 September 2005 ( Update ),Yes,Dragonkin,Cutscene-only,N/A,Male,An ancient evil.,2641,MOID,https://oldschool.runescape.wiki/images/thumb/King_Black_Dragon_chathead.png/18px-King_Black_Dragon_chathead.png,https://oldschool.runescape.wiki/images/Dragonkin_%28A_Tail_of_Two_Cats%29.png,,,,A Tail of Two Cats,,,,,,
1051,Dragonkin,4 January 2018 ( Update ),Yes,Dragonkin,Cutscene-only,N/A,Male,An ancient evil.,"8120,8125",MOID,https://oldschool.runescape.wiki/images/Dragonkin_%28Dragon_Slayer_II%29_chathead.png,https://oldschool.runescape.wiki/images/Dragonkin_%28Dragon_Slayer_II%29.png,None,,,Dragon Slayer II,,,,,,
1052,Drain pipe,4 June 2007 ( Update ),Yes,,North of Falador,Asgarnia ✓,,A rusty drainpipe.,5122,MOID,https://oldschool.runescape.wiki/images/Drain_pipe_chathead.png,,Talk-to,,,Grim Tales,,,,,,
1053,Drake,16 December 2021 ( Update ),No,Bird,Falador Park,N/A,Male,Santa's quacky helper.,hist11260,MOID,https://oldschool.runescape.wiki/images/thumb/Squire_%28Christmas%29_chathead.png/21px-Squire_%28Christmas%29_chathead.png,https://oldschool.runescape.wiki/images/Drake_%282021_Christmas_event%29.png,None,,,,5 January 2022 ( Update ),,,,,
1054,Drake,9 July 2007 ( Update ),No,Bird,Varies,Asgarnia ✓ Misthalin ✓,Male,It quacks like a duck.,2004,MOID,,https://oldschool.runescape.wiki/images/Drake_%28bird%29.png,None,,,,,,,,,
1055,Drasdan Ranor,4 June 2020 ( Update ),Yes,Vampyre,South Darkmeyer,Morytania ✓,Male,A juvinate vampyre. Looks to be selling something.,9721,MOID,https://oldschool.runescape.wiki/images/Drasdan_Ranor_chathead.png,https://oldschool.runescape.wiki/images/Drasdan_Ranor.png,"Talk-to, Trade",3338,3641,,,Darkmeyer General Store,,,,
1056,Draul Leptoc,7 March 2006 ( Update ),No,Human,"Leptoc Mansion, west of Varrock",Misthalin ✓,Male,"This looks like an angry, aggressive man.",5039,MOID,https://oldschool.runescape.wiki/images/Draul_Leptoc_chathead.png,https://oldschool.runescape.wiki/images/Draul_Leptoc.png,Talk-to,3436,3161,Romeo & Juliet,,,,,,
1057,Draven Quillshade,19 November 2025 ( Update ),Yes,Human,N/A,N/A,Male,A seasoned archaeologist in search of long lost empires.,14954,MOID,https://oldschool.runescape.wiki/images/Draven_Quillshade_chathead.png,https://oldschool.runescape.wiki/images/Draven_Quillshade.png,,,,,,,,,,
1058,Dreven,11 July 2005 ( Update ),Yes,Human,Champions' Guild,Misthalin ✓,Male,Perhaps this gardener might look after your crops for you.,2674,MOID,https://oldschool.runescape.wiki/images/Dreven_chathead.png,https://oldschool.runescape.wiki/images/Dreven.png,"Talk-to, Pay, Trade",3356,3183,Fairytale I - Growing Pains,,Yes,,,,
1059,Drew,14 March 2019 ( Update ),Yes,Human,Bandit Camp Quarry,Desert ✓,Male,"Takes care of the sandstone grinder, that thing must kick up a sandstorm when used.",6771,MOID,https://oldschool.runescape.wiki/images/Drew_chathead.png,https://oldschool.runescape.wiki/images/Drew.png,"Talk-to, Claim Sand, Check, Deposit buckets",2909,3152,,,,,,,
1060,Drezel,29 June 2004 ( Update ),Yes,Human,Paterdomus,Morytania ✓,Male,A holy man.,9636,MOID,https://oldschool.runescape.wiki/images/Drezel_chathead.png,https://oldschool.runescape.wiki/images/Drezel.png,Talk-to,9895,3440,"Priest in Peril , Nature Spirit , In Aid of the Myreque , Darkness of Hallowvale , Sins of the Father",,,,,,
1061,Driftwood,6 September 2018 ( Update ),Yes,Troll,Weiss,Fremennik ✓,Male,A troll of Weiss.,"8448,8449",MOID,https://oldschool.runescape.wiki/images/Driftwood_chathead.png,https://oldschool.runescape.wiki/images/Driftwood.png,,3924,2888,Making Friends with My Arm,,,,,,
1062,Drill Sergeant,7 January 2016 ( Update ),Yes,Human,Shayzien Encampment,Kourend ✓,Female,You'd best do what she says.,6882,MOID,https://oldschool.runescape.wiki/images/thumb/Amelia_chathead.png/26px-Amelia_chathead.png,https://oldschool.runescape.wiki/images/Drill_Sergeant.png,None,3647,1510,,,,,,,
1063,Drink troll queen,19 November 2025 ( Update ),Yes,,Varies,N/A,,The drink troll society might feel simpler now.,15176,MOID,https://oldschool.runescape.wiki/images/thumb/Aga_chathead.png/35px-Aga_chathead.png,https://oldschool.runescape.wiki/images/Drink_troll_queen_%28defeated%29.png,Harvest,,,,,,,217,,
1064,Droalak,22 November 2005 ( Update ),Yes,Ghost,Port Phasmatys,Morytania ✓,Male,Not a happy ghost.,3493,MOID,https://oldschool.runescape.wiki/images/Droalak_chathead.png,https://oldschool.runescape.wiki/images/Droalak.png,Talk-to,3475,3659,Making History,,,,,,
1065,Drogo dwarf,6 April 2001 ( Update ),No,Dwarf,Dwarven Mine,Asgarnia ✓,Male,He runs a mining store.,5895,MOID,https://oldschool.runescape.wiki/images/Drogo_dwarf_chathead.png,https://oldschool.runescape.wiki/images/Drogo_dwarf.png,"Talk-to, Trade",9846,3036,,,Drogo's Mining Emporium.,,,,
1066,Dromund,31 May 2005 ( Update ),Yes,Dwarf,Keldagrim,Fremennik ✓,Male,What an eccentric little fellow!,2374,MOID,https://oldschool.runescape.wiki/images/Dromund_chathead.png,https://oldschool.runescape.wiki/images/Dromund.png,Talk-to,10224,2838,The Giant Dwarf,,,,,,
1067,Dromund's cat,31 May 2005 ( Update ),Yes,Cat,Keldagrim,Fremennik ✓,Male,Very protective of his master... and his property.,2346,MOID,https://oldschool.runescape.wiki/images/Dromund%27s_cat_chathead.png,https://oldschool.runescape.wiki/images/Dromund%27s_cat.png,Talk-to,10226,2836,The Giant Dwarf,,,,,,
1068,Dron,22 November 2005 ( Update ),Yes,Human,Rellekka,Fremennik ✓,Male,He looks scary.,3495,MOID,https://oldschool.runescape.wiki/images/Dron_chathead.png,https://oldschool.runescape.wiki/images/Dron.png,Talk-to,3701,2659,Making History,,,,,,
1069,Druid,10 July 2024 ( Update ),Yes,Human,White Knights' Castle,N/A,Male,A lover of nature.,13554,MOID,https://oldschool.runescape.wiki/images/Druid_%28enriched_snapdragon_patch%29_chathead.png,https://oldschool.runescape.wiki/images/Druid_%28enriched_snapdragon_patch%29.png,Talk-to,3343,2961,While Guthix Sleeps,,,,,,
1070,Druid,10 July 2024 ( Update ),Yes,Human,White Knights' Castle,N/A,Male,A lover of nature.,13552,MOID,https://oldschool.runescape.wiki/images/Druid_%28super_truth_serum%29_chathead.png,https://oldschool.runescape.wiki/images/Druid_%28super_truth_serum%29.png,,,,While Guthix Sleeps,,,,,,
1071,Druid,5 March 2015 ( Update ),? (edit),Human,None,N/A,Male,Loves nature.,3259,MOID,https://oldschool.runescape.wiki/images/Druid_chathead.png,https://oldschool.runescape.wiki/images/Druid.png,Talk-to,,,,,,,,,
1072,Druid spirit,10 July 2024 ( Update ),Yes,,Ancient Guthixian Temple,N/A,Male,The spirit of a long-dead druid of Guthix.,13575,MOID,https://oldschool.runescape.wiki/images/Druid_spirit_%28male%29_chathead.png,https://oldschool.runescape.wiki/images/Druid_spirit_%28male%29.png,,,,While Guthix Sleeps,,,,,,
1073,Drunken Ali,4 April 2005 ( Update ),Yes,Human,Pollnivneach,Desert ✓,Male,Drunk man.,3534,MOID,https://oldschool.runescape.wiki/images/Drunken_Ali_chathead.png,https://oldschool.runescape.wiki/images/Drunken_Ali.png,Talk-to,2958,3359,The Feud,,,,,,
1074,Drunken Dwarf,6 April 2004 ( Update ),No,Dwarf,Random,General ✓,Male,He's had a fair bit to drink...,322,MOID,https://oldschool.runescape.wiki/images/Drunken_Dwarf_chathead.png,https://oldschool.runescape.wiki/images/Drunken_Dwarf.png,"Talk-to, Dismiss",,,No,,,,,,
1075,Drunken Dwarf,31 May 2005 ( Update ),Yes,Dwarf,Keldagrim,Fremennik ✓,Male,He's had a fair bit to drink...,2408,MOID,https://oldschool.runescape.wiki/images/Drunken_Dwarf_%28Keldagrim%29_chathead.png,https://oldschool.runescape.wiki/images/Drunken_Dwarf_%28Keldagrim%29.png,Talk-to,10222,2912,Forgettable Tale of a Drunken Dwarf,,,,,,
1076,Drunken Dwarf,19 November 2025 ( Update ),Yes,,Player-owned boat,N/A,,He's had a fair bit to drink...,15162,MOID,https://oldschool.runescape.wiki/images/Drunken_Dwarf_%28Sea_charting%29_chathead.png,https://oldschool.runescape.wiki/images/Drunken_Dwarf_%28Sea_charting%29.png,None,,,,,,,,,
